name,type,eligibility,amount
STEM Excellence Scholarship,Merit-based,STEM Students,$10000
Business Leadership Grant,Need-based,Business Students,$5000
Diversity & Inclusion Fellowship,Merit-based,All Students,$7500
Academic Achievement Scholarship,Merit-based,All Students,$3000
International Student Grant,Need-based,International Students,$4000
Future Educators Scholarship,Merit-based,Education Students,$6000
Healthcare Heroes Fund,Merit-based,Medical Students,$12000
Community Service Award,Merit-based,All Students,$2500
First-Generation Scholar Grant,Need-based,First-Generation College Students,$8000
Arts & Humanities Fellowship,Merit-based,Arts & Humanities Students,$4500
Women in Technology Scholarship,Merit-based,Female STEM Students,$9000
Environmental Studies Grant,Merit-based,Environmental Science Students,$5500
Athletic Excellence Award,Merit-based,Student Athletes,$7000
Veterans Education Support,Need-based,Military Veterans,$11000
Rural Students Opportunity Fund,Need-based,Students from Rural Areas,$6500
Entrepreneurial Innovation Grant,Merit-based,Business & Engineering Students,$8500
Public Service Commitment Award,Merit-based,Public Policy & Government Students,$7200
Indigenous Student Scholarship,Need-based,Indigenous Students,$9500
Study Abroad Fellowship,Merit-based,All Students,$4800
Graduate Research Grant,Merit-based,Graduate Students,$15000
Disability Support Scholarship,Need-based,Students with Disabilities,$8200
Legacy Student Award,Merit-based,Children of Alumni,$3500
Performing Arts Scholarship,Merit-based,Music & Theater Students,$6800
Future Scientists Fund,Merit-based,Science Students,$11500
Single Parent Support Grant,Need-based,Single Parents,$10500
STEM Excellence Scholarship,Merit-based,STEM Students,$10000
Business Leadership Grant,Need-based,Business Students,$5000
Diversity & Inclusion Fellowship,Merit-based,All Students,$7500
Academic Achievement Scholarship,Merit-based,All Students,$3000
International Student Grant,Need-based,International Students,$4000
Future Educators Scholarship,Merit-based,Education Students,$6000
Healthcare Heroes Fund,Merit-based,Medical Students,$12000
Community Service Award,Merit-based,All Students,$2500
First-Generation Scholar Grant,Need-based,First-Generation College Students,$8000
Arts & Humanities Fellowship,Merit-based,Arts & Humanities Students,$4500
Women in Technology Scholarship,Merit-based,Female STEM Students,$9000
Environmental Studies Grant,Merit-based,Environmental Science Students,$5500
Athletic Excellence Award,Merit-based,Student Athletes,$7000
Veterans Education Support,Need-based,Military Veterans,$11000
Rural Students Opportunity Fund,Need-based,Students from Rural Areas,$6500
Entrepreneurial Innovation Grant,Merit-based,Business & Engineering Students,$8500
Public Service Commitment Award,Merit-based,Public Policy & Government Students,$7200
Indigenous Student Scholarship,Need-based,Indigenous Students,$9500
Study Abroad Fellowship,Merit-based,All Students,$4800
Graduate Research Grant,Merit-based,Graduate Students,$15000
Disability Support Scholarship,Need-based,Students with Disabilities,$8200
Legacy Student Award,Merit-based,Children of Alumni,$3500
Performing Arts Scholarship,Merit-based,Music & Theater Students,$6800
Future Scientists Fund,Merit-based,Science Students,$11500
Single Parent Support Grant,Need-based,Single Parents,$10500
